,USER_ID,HAS_MULTIPLE_ACCOUNTS_AND_NOT_ALL_TRANSACTED
0,c2baf83dab4b07c7d5064a05bda37f5e,False
1,befbddf34f71095d3fe49efd79a8996e,False
2,907aafae0fcfc370fbd7463c4ce989b7,False
3,c2b8ccffdd0a79fcb91ac1e3017bd2ff,False
4,20a340c088f1638c778a1cfcac4d8e77,False
5,8edeffbcff0f8a265ffcc0a490691e77,False
6,6613cbf100035f159e038abb2f706c07,False
7,b0cd78ffdcbff06253f180a24435b141,False
8,67236843ce666bf59fd67ac51e2d904f,False
9,242a62a8d856f186ccae90c99661b525,False
10,8d844e6dc34b2583110ca8b7d9791af9,False
11,68d174508f64a55dde75eebd697ac499,False
12,f2f794290977b2ca63bef2447cc04d5c,False
13,8bf781d11ae1208c9d258ca922f2159a,False
14,c810d7de4302799f153adb50e9cb42cf,False
15,89522d098b2becfb0abeff4e438873ea,False
16,8948c92b26ff1b198aaf887687d59968,False
17,eed2c16a661c7882dad4e889752403bc,False
18,f70c6341aeedda2368c274a6211156a2,False
19,0f676a57c0f9d1c6fc86b2f0d4ab01c4,False
20,fc8012bb606724ac1e60451126e49ca1,False
21,338dd5ae56ead65c61da0f47171983a8,False
22,194da53d57e61994fe830faecbca258a,False
23,a48248ecfa5d52464ff5d8bc72a531e6,False
24,1f7902456171bcf9067f45a296c671bf,False
25,32a455245cbb05f1c00083520de927bc,False
26,f8702f9044e4fb95684d5c1788bf5d79,False
27,6447cad9323c0e90f7687f128d7634b4,False
28,f5a59955e64c7ecc508218c8579bfb1d,False
29,9d7c31c393bd5bc31700fb89f50e0cd4,False
30,9a6bd81a055be21354f7b1102412dec6,False
31,e19fa6b6ebd2c8037c3ea7761d16c052,False
32,db09e52ea34b2a79b7410556efbba2b5,False
33,beae82a0fa6b0b301aa051d3a5d78684,False
34,18bc4d3962ea1876b8dbf03271866046,False
35,972e877c8c6c56cc6c02aaef85b8286a,False
36,753f7ad5f109ed458b32386161a6e5a7,False
37,8039a446aaf0be09fc0d8175212f04e5,False
38,7f246f6d75107123c063662f6b67a79e,False
39,6f7f19af183bceea8ba6bbec8189c093,False
40,4ca376da48358549ef9c8ccf1309bfb4,False
41,e241c7391023479ad2511ed02d9ebe9c,False
42,0b0c4105cc02f581c29c8930d06c6912,False
43,2964033fd7280ee5bc4596d94e2a805b,False
44,73a06d8db77df4deb868c83beed93dce,False
45,36555fa5fce6c254eddf3248f6053447,False
46,759be096cecb833c5b7d6795aad210fc,False
47,79ecc9d05c1110f84e0f53cd0d9b968a,False
48,dcc54fb9dca40a6729a6863ae9db6723,False
49,746a83382602a573e87a123c8737d42b,False
50,dbdf77833ee48da25845672c57d4fa9a,False
51,7c54c779848a15dca07709fc201e9cdc,False
52,7c6e171bcbaacf9bc3e4aae3ae2b3dbc,False
53,1cc1aa484fe04f5001f25a4c60e5d814,False
54,64e010e432b7dc4b66f3a750aafe8094,False
55,6be14ae41aef33323b24ed1f1d428668,False
56,ca4172f864238e8578a415e215713ea6,False
57,ebfc7b0602788d9a9458ee9cd2b67b27,False
58,154b32ffe1398a2e018eb4b2e13c37cf,False
59,504519fbd7b1d8d86f6624d31aa0ff84,False
60,cc3e1c2ed42e8e55ea616f3c74c0eba0,False
61,ea366c7f0e2957168fcf8f004fa7020d,False
62,6db5227083eb5f05730567aac8633598,False
63,6247034239f8514eadd1db3363d49ddd,False
64,84c7e0eee31ba7ca5bcdb9781280cc70,False
65,cef762063b3071f59e897d736eb5730b,False
66,2e4781a5b1a1fdedda28cbe09b703857,False
67,6eb95af5868d5f7e42d8470eb92e20d1,False
68,6a4e1f76f8ab2c65bc6616ef7d7db904,False
69,3a260fa07da8320f697b5eba30f76fa2,False
70,6cb8947d1cdbecc50f022f7dd6f9d8df,False
71,aa2a5a5ab3c99c977d073781a4c7e4f2,False
72,5b2725548f3b713fa70e39bb7aec5e7e,False
73,0a23653e68cdc58d7081d1535bba423f,False
74,78a68a52aec4128a2decf1466a2a6c94,False
75,53a9176f484d28bacfed80c53c6ebbe1,False
76,80a22e10cb53c3d3743fbe01ceec33dc,False
77,f190f15dbd8686fc9158d247c09189fe,False
78,b5bd188bc9d52db887191194cd3ee178,False
79,314e8e26bd1e06441cafe5cfd927df72,False
80,4066f4b3b966b680aa2c3aaa5b770265,False
81,2fdd6e64413686397b477468ec9f4d5a,False
82,b83dfb57c1dfa46b13d53fd61b782786,False
83,48cc9779135b57b6a8d4052e93bb843a,False
84,056cec273f01d7757ca925bfd38cf271,False
85,b3cc5caa3ffb399f7aab741ead8c7136,False
86,378f0ad64a0811c4f3444528fb328943,False
87,05a5739881947bb5c455d7eebbf70e5d,False
88,9cba86c51495ec72c184caab02c32d29,False
89,b0c87b63a65b7bb1446ed2023990c2af,False
90,59d76c6bff6e7996e4232ab9c7b2f9ad,False
91,ce9611e4cd84557f00a1ee6106da2f97,False
92,06ddc401da2f5e3c6969c7a21273a341,False
93,0c5df2e47faf3b5dee8e041ce1c1f018,False
94,add432bb4627fdd37bb20410caef1c87,False
95,5d1d4c39e7b1f50751d76718c34c15f4,False
96,dccf44954b2cd7a7b563b3f96477df2a,False
97,008793c7766aa0e097dfe58427b89389,False
98,02dfccf20904eaee49633aeb4d44adf0,False
99,351b82a9b3a6bc3a77baaeb38ab0e124,False
100,66c7c0e0c06cb7b8e8ff710225242f80,False
101,171905e95d4ba808255e1d010345f857,False
102,e70316628440dd4eba3f2e1a11ef0cfc,False
103,f1541c940807014f685c6b7b796d3727,False
104,5071310254468d837cf1ba82cc359931,False
105,3b3ef6dcf29673f9497e2e885e24a44e,False
106,01f99f82502b0579de53e98dd3c15c06,False
107,bb6809f26cf987ce23cd69e2427e1217,False
108,aa09231fa4f689be19369ca7913ac1d1,False
109,62f72f59ffd7489c4e9181e21e372da0,False
110,3ce433f1c191f34597ad7dae8b60c12c,False
111,d4c16d1d47c83fad9c693cb8d4089905,False
112,4dcae949219c6f885b9d62ed6ac1e97c,False
113,895fd22adb4fd573466f721d690c4a28,True
114,85f18f1fe75ebda7f465e64c04f6504a,True
115,a1bb054f72b52a23225adafa093bccc3,True
116,a10d65d37b81cab83c224c475511ed26,True
117,a09efe6c3679b40556ac496a156d36aa,True
118,a1015aab1d04d8c603dd5a96e370310e,True
119,84c4a2bbc100c5bf7d55db524a9ddd0d,True
120,9fb4ff92d3593d14ed71fcab108424ea,True
121,8022ad60e37dd53adfeaac7847f0daae,True
122,a6f7b4d568976e9e702c197601ee3e68,True
123,7d473f2e02c4b49349f5b807d34fa035,True
124,a611ec17afcf61d5f44f86abcb286e66,True
125,7e4b5f92dffa93ff7fef7f91252f6b15,True
126,7e9db9b99c6706a6cadcb0764bf2b97e,True
127,7ea2f21acaa8eb1539233f9a4ee680ba,True
128,a4d6b9985aabde565e83d5b5b236430a,True
129,7ece3d6c8abe3b525512229b7f380922,True
130,a4bff5b02a8f477625f18ad77b2b4b2b,True
131,849b234ec990304fb126b8f5c4d80662,True
132,a43ad9f78f4e29889ddaa1bf3beb9300,True
133,a3e1516cac9620c496d3f6d64945db90,True
134,80d468857525f72a3a5fbd47a19d3702,True
135,a2490fb2390225687fa21da6f3929058,True
136,80e521c87eab3738c8e12d9983d3bf0f,True
137,a2052328b44702ce2ca930d36b1f6bc6,True
138,82720d7d7dc0fe2066ad8524886980ae,True
139,831227d8efd5f6b3cdbe8f1033cc9ca2,True
140,8333351cdefb4ed33e672e11cd625172,True
141,99f5507bde2ddfac74308b2f51f96f36,True
142,9ac64944bd1cafbf34b79cb9e997467a,True
143,91dadbb65731fe508bcc5db9758ccb42,True
144,9260c2cb2c91292ea08ac5d752b1042b,True
145,92a674b2c5522cb8546e0d8d43802883,True
146,93266f486019897c9578cfe006dcc35e,True
147,6a12499a0d8765bb19772a6f4be5bccf,True
148,93aba76f4e4d8910b1868d9dbf7f8b84,True
149,9a4f0bc97c94d67f5a30e3e67373d41c,True
150,953435c68c869ae5e7168feaccf810a2,True
151,95fff4f8ee48fda7ed432be7c8ff2653,True
152,9639a1196fbacca03285901ac105673a,True
153,9b5e893aa8a1c3c26550a6285b76aafa,True
154,99e37d397360acce219954eee659ea67,True
155,9641dd07b501a8811a462b3288d46053,True
156,990f2106c25e4b9efb520065d31aff04,True
157,96e42fe344372a15f183a9ead43cbcb8,True
158,98ca99b2723feb296079a30535a44c2d,True
159,974f6dfccedd45397ab2d9f3413d4af0,True
160,9753391f77902121193db0a129a3c739,True
161,97e8eda4bc42bc9b50a05d5a19e93b58,True
162,982a2b116c53d5a463ae5f670dc7de97,True
163,9809ea41344fe457cdf908e5c55562b4,True
164,8b8bc84ea6701385dd8a286e6da690d3,True
165,9fa0bd309e17d9f79174ff8b2047571a,True
166,883be0830264f5818c9192358380dad9,True
167,886038dc135f1337773cf3def4c2dcb3,True
168,88bb20c73660faeac3090971b1a2142b,True
169,9ea66b7337d5668706ac7e4bcb9aa347,True
170,9d807eaa535a97054e4d2df54f776b7d,True
171,9d5ca06f5661dbf5324f4aba3e509e9d,True
172,8a6629f0f572478f47b00fe6eb83942e,True
173,8a8ba2e355383cc479c83b9f4de92cd8,True
174,8b25ebfa41d7da7106f91951a8224201,True
175,87751a2de24f35eb01f318fe6e453e8d,True
176,9d4a01ac3b08f3a26015907a832278b2,True
177,9ce0142c213d999fa34fbec4d6c85787,True
178,8d216dcf6e8374bc95c6ac82a5e38ef7,True
179,8d25da1fb404f124c769cf54eacf1ae0,True
180,8d6a354065a8cfc3336cee344b305a1b,True
181,8da796bbb9eb203f1efe15be15668837,True
182,9be237d2e0ec5acfc13b5d7245db908c,True
183,8f9adbb6173f237800afa131ff2bb6c4,True
184,9b8402c10976c1e04dbef810efabff41,True
185,9006b702b3821ea010b61b42c529e77b,True
186,66c58df862f616205af5c8a30b93e00d,True
187,2f0d45217379a2f97f48409210597984,True
188,2f100201392d0619095f5390d134d45f,True
189,3766e0c7933404fc713bca21f5a1138a,True
190,395cef880decbb13dc52dc8a914dd1f7,True
191,40a982bb7e6c2bc417071bde8c3b7e58,True
192,4208de92c03b401688dae1768f5e7512,True
193,43b17ef4b7d2dac2197e9622febcdb89,True
194,4552eb5a7bc7cc26c16e72c709add5dd,True
195,459e2f900569ff4be0f1d19a2c6b2df0,True
196,467ccaa908abf155a96bdc6826c6ca44,True
197,474102ef3748efc53237ecad21af9b41,True
198,47a0e9934e3c36a8274685d5c1308ea3,True
199,48e077a9a49d2fc5a1a42ed43f8371ae,True
200,4c3b6b2b82597a0051f12001b88e8a3e,True
201,29fe986ab58e3f43f552741587c232c0,True
202,6a092c1b4cdb7f1742c3a3719ab5929c,True
203,7c435a996564fb9ea5256311669b9af7,True
204,7cb4d984837d37e94927aca14fbe3813,True
205,7d592b7be09395380ba94fe9b2d86018,True
206,7e108a1bf12461d487d0660174c4ece4,True
207,7e69f45008eadb72a555a15cd0565073,True
208,7ffaa918608181884419e232b69091c7,True
209,8171d23f969cff692a79f58a4ac41b63,True
210,8399b3eab8f4ae5165d20bc91bdd21b8,True
211,84f2fa43f07adc4eae26783d5b1b4710,True
